Quinto semestre: 2022-20
CBCA 1061, 01: Historia del Traje en Occidente (Tipo E)	Calificación		Valor		Puntos				Tiempo por créditos	
	Nota	Porcentual	Porcentual	Créditos	Perdidos	Alcanzables			Con clases	Sin clases
Hausaufgabe Morgenroutine	5.00	100.00%	6.00%	0.18	0	4.94			4 h y 48 min	8 h y 38 min
Participación en clase corte 2	5.00	100.00%	6.00%	0.18	0	4.94			4 h y 48 min	8 h y 38 min
Bloque Neón corte 2	3.26	65.20%	3.00%	0.09	-0.0522	4.89			2 h y 24 min	4 h y 19 min
Examen parcial 2	4.75	95.00%	15.00%	0.45	-0.0375	4.85			12 h	21 h y 36 min
Hausaufgaben corte 3	5.00	100.00%	6.00%	0.18	0	4.85			4 h y 48 min	8 h y 38 min
Participación en clase corte 3	5.00	100.00%	10.00%	0.30	0	4.85			8 h	14 h y 24 min
Bloque Neón corte 3	4.09	81.80%	4.00%	0.12	-0.0364	4.81			3 h y 12 min	5 h y 46 min
Examen parcial 3	3.90	78.00%	20.00%	0.60	-0.2200	4.59			16 h	28 h y 48 min
Nota final	4.59	91.88%	100.00%	3.00	-0.4061	4.59				
Nota final con aproximación a la milésima	4.59	91.80%	100.00%							
Máxima nota final alcanzable a la fecha	4.59	91.88%	100.00%							
Mínima nota final alcanzable a la fecha	4.59	91.88%	100.00%							
